Order_Number,County,Item_Number,Promoted_Sale,Quantity,Price,Date,Service,Month,Item
09-04087-67789,Greater Manchester,264393705626,No,1,17.00,03/11/19,Royal Mail 2nd Class,November,Neo G 885
11-04087-53588,Lancashire,264454638314,No,1,4.99,03/11/19,Royal Mail 2nd Class,November,Scholl Athlete's Foot
12-04087-09500,Gloucestershire,264204441497,No,1,14.00,03/11/19,Royal Mail 2nd Class,November,Clearblue Digital Ovulation
18-04086-28302,Cornwall,264423396047,No,1,17.00,03/11/19,Royal Mail 2nd Class,November,JML Flawless Facial FTFLESS
26-04085-76625,Tyne and Wear,264468821396,No,1,17.00,03/11/19,Royal Mail 2nd Class,November,JML Flawless Facial FTFLESS
03-04081-38024,West Midlands,264473451856,No,1,5.00,02/11/19,Royal Mail 2nd Class,November,Compeed 55708812
08-04079-03895,Buckinghamshire,264431873051,No,1,22.00,01/11/19,Royal Mail 2nd Class,November,Neo G 474
27-04074-21029,Leicestershire,264393705626,No,1,17.00,31/10/19,Royal Mail 2nd Class,October,Neo G 885
16-04072-22588,Somerset,264236738048,Yes,1,99.99,31/10/19,Royal Mail 2nd Class,October,Sennheiser ClipMic Digital Clip-on
24-04074-80677,Tyne & Wear,264376292335,No,1,20.00,30/10/19,Royal Mail Tracked 24,October,Clearblue Ovulation Test Digital
22-04067-68329,London,264393807152,No,1,16.00,30/10/19,Royal Mail 2nd Class,October,JML Finishing Touch FTFLPB
27-04066-84861,Conwy,264376292335,No,1,20.00,30/10/19,Royal Mail Tracked 24,October,Clearblue Ovulation Test Digital
25-04063-96639,Cambridgeshire,264376292335,No,1,20.00,29/10/19,Royal Mail Tracked 24,October,Clearblue Ovulation Test Digital
11-04058-80780,Kent,264465235925,No,1,4.99,28/10/19,Royal Mail 2nd Class,October,Optrex for Dull Eyes
08-04057-72517,Cambridgeshire,264393632022,No,1,25.00,27/10/19,Royal Mail 2nd Class,October,Neo G 453
04-04057-01571,North Yorkshire,264393807152,No,1,16.00,27/10/19,Royal Mail 2nd Class,October,JML Finishing Touch FTFLPB
15-04056-03896,Gloucestershire,264465232014,No,1,4.99,27/10/19,Royal Mail 2nd Class,October,Optrex for Itchy Eyes
07-04056-52981,Surrey,264393705626,No,2,34.00,27/10/19,Royal Mail 2nd Class,October,Neo G 885
18-04055-44144,Gloucestershire,264473469373,Yes,1,5.00,27/10/19,Royal Mail 2nd Class,October,Compeed 55709992
27-04053-33283,East Dunbartonshire,264423396047,No,1,17.00,27/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
25-04051-32938,Manchester,264470181391,No,1,20.00,26/10/19,Royal Mail 2nd Class,October,Neo G 456
20-04051-55202,Kent,264109028195,Yes,1,11.00,26/10/19,Royal Mail 2nd Class,October,Scholl Fungal Nail Complete Treatment Kit
15-04051-19793,Bedfordshire,264393632022,No,1,25.00,26/10/19,Royal Mail 2nd Class,October,Neo G 453
07-04046-29450,Fife,264473451856,No,1,5.00,25/10/19,Royal Mail 2nd Class,October,Neo G 885
06-04046-34847,Greater Manchester,264393807152,No,1,16.00,25/10/19,Royal Mail 2nd Class,October,Compeed 55708812
06-04044-82164,Hampshire,264204441497,No,1,12.00,24/10/19,Royal Mail 2nd Class,October,JML Finishing Touch FTFLPB
20-04043-58781,East Sussex,264473451856,No,1,5.00,24/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation 
27-04039-14737,Kent,264183243932,No,1,4.99,23/10/19,Royal Mail 2nd Class,October,Compeed 55708812
19-04038-64925,Conwy,264473451856,No,1,5.00,23/10/19,Royal Mail 2nd Class,October,Scholl Verruca Removal System Washproof Plaster
21-04035-21344,Northamptonshire,264204441497,No,1,12.00,22/10/19,Royal Mail 2nd Class,October,Compeed 55708812
21-04029-66275,Western Isles,264204441497,No,1,12.00,21/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
05-04019-36138,Kent,264393695399,No,1,13.00,18/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
10-04017-06136,West Midlands,264393705626,No,1,17.00,18/10/19,Royal Mail 2nd Class,October,Neo G 722
23-04014-20791,Antrim,264109028195,No,1,11.00,17/10/19,Royal Mail 2nd Class,October,Neo G 885
16-04012-12965,London,264380878109,No,1,4.99,17/10/19,Royal Mail Tracked 24,October,Scholl Fungal Nail Complete Treatment Kit
04-04009-24733,Greater Manchester,264204441497,No,1,12.00,16/10/19,Royal Mail 2nd Class,October,SCHOLL CORN REMOVAL PLASTERS
14-04005-42713,Kent,264468821396,No,1,16.00,15/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
11-04005-25055,Lancashire,264393807152,No,1,16.00,15/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
07-04004-47965,Cumbria,264423388528,No,1,25.00,15/10/19,Royal Mail 2nd Class,October,JML Finishing Touch FTFLPB
03-04004-68212,Lincolnshire,264393807152,No,1,16.00,15/10/19,Royal Mail 2nd Class,October,JML Flawless Rechargeable FTFLDLXL
24-04007-42567,Greater Manchester,264204441497,No,1,12.00,14/10/19,Royal Mail 2nd Class,October,JML Finishing Touch FTFLPB
16-04000-04638,Cornwall,264393695399,No,1,13.00,14/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
23-03997-98799,Tyrone,264204441497,No,1,12.00,14/10/19,Royal Mail 2nd Class,October,Neo G 722
11-03998-26146,Swansea,264393054519,No,1,25.00,14/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
13-03996-49103,Derbyshire,264468821396,No,1,16.00,13/10/19,Royal Mail 2nd Class,October,Clearblue Fertility Monitor Advance
26-03991-93033,West Yorkshire,264204441497,No,1,12.00,12/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
03-03991-36135,Hampshire,263684256481,No,3,8.97,12/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
21-03988-93772,Worcestershire,264423396047,No,1,15.00,12/10/19,Royal Mail 2nd Class,October,"Harris Smoothglide 1.5"""
06-03988-42614,London,264465202813,No,1,15.00,11/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
07-03987-20154,Cardiff,264404576069,No,1,10.00,11/10/19,Royal Mail 2nd Class,October,Tweezerman 1230-CR
16-03983-01638,West Yorkshire,264404476867,No,1,13.00,10/10/19,Royal Mail 2nd Class,October,JML Mineral Magic V13171
20-03979-67224,Devon,264431906892,No,1,20.00,09/10/19,Royal Mail 2nd Class,October,Neo G 887
14-03979-87260,Dorset,264423396047,No,1,15.00,09/10/19,Royal Mail 2nd Class,October,Clearblue Ovulation Test Advance
19-03978-71548,Kent,264423396047,No,1,15.00,09/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
11-03978-87037,Kent,264465211802,No,1,12.00,09/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
07-03978-82916,Kent,264393705626,No,1,17.00,09/10/19,Royal Mail 2nd Class,October,Tweezerman 1252-RSGRB
18-03975-06080,Norfolk,264204441497,No,1,12.00,08/10/19,Royal Mail 2nd Class,October,Neo G 885
15-03974-99929,Norfolk,264465202813,No,1,15.00,08/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
11-03964-76683,Greater Manchester,263718390114,Yes,1,6.95,06/10/19,Royal Mail 2nd Class,October,Tweezerman 1230-CR
11-03960-44630,Devon,264204441497,No,1,14.00,05/10/19,Royal Mail 2nd Class,October,Unibond No More Nails
17-03959-49264,South Yorkshire,264468821396,No,1,16.00,05/10/19,Royal Mail 2nd Class,October,Clearblue Digital Ovulation
07-03959-44503,West Midlands,264183243932,No,1,4.99,05/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
25-03955-52410,North Yorkshire,264423396047,No,1,15.00,04/10/19,Royal Mail 2nd Class,October,Scholl Verruca Removal System Washproof
15-03956-38397,South Yorkshire,264393632022,No,1,25.00,04/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
21-03954-99983,Essex,264390742827,No,1,12.00,04/10/19,Royal Mail Tracked 24,October,Neo G 453
21-03952-65782,Essex,264109028195,No,1,12.00,03/10/19,Royal Mail 2nd Class,October,Ronseal Perfect L01657
14-03951-97695,West Midlands,264423396047,No,1,15.00,03/10/19,Royal Mail 2nd Class,October,Scholl Fungal Nail Complete Treatment Kit
03-03952-06136,Devon,264423396047,No,1,15.00,03/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
20-03948-17267,Surrey,264473451856,No,1,6.00,02/10/19,Royal Mail 2nd Class,October,JML Flawless Facial Hair FTFLESS
07-03945-08172,Dundee (City of),264393705626,No,1,17.00,01/10/19,Royal Mail 2nd Class,October,Compeed 55708812
20-03941-66676,Tyne and Wear,264423388528,No,1,25.00,01/10/19,Royal Mail 2nd Class,October,Neo G 885
19-03937-58591,East Sussex,264465296835,No,1,4.99,30/09/19,Royal Mail 2nd Class,September,JML Flawless Rechargeable FTFLDLXL
03-03938-45408,Antrim,263718086584,No,1,5.99,30/09/19,Royal Mail 2nd Class,September,Scholl Blister Shield 6 Toe Plasters
12-03934-55770,Suffolk,264465266335,No,1,13.00,29/09/19,Royal Mail 2nd Class,September,Unibond No More Nails
04-03934-27418,Surrey,263720512438,No,1,2.99,29/09/19,Royal Mail 2nd Class,September,Tweezerman 1047-NPR
23-03932-66942,Shropshire,264473451856,No,1,6.00,29/09/19,Royal Mail 2nd Class,September,StarPack 72114
18-03930-87244,South Lanarkshire,264465211802,No,1,12.00,29/09/19,Royal Mail 2nd Class,September,Compeed 55708812
19-03928-28752,East Sussex,264454590600,No,1,20.00,28/09/19,Royal Mail 2nd Class,September,Tweezerman 1252-RSGRB
17-03927-04700,West Yorkshire,264465287616,No,1,17.00,27/09/19,Royal Mail 2nd Class,September,Gillette Fusion5 Razor
12-03925-83908,South Yorkshire,264473451856,No,1,6.00,27/09/19,Royal Mail 2nd Class,September,JML Nicer Dicer A000708
15-03922-26504,Londonderry,264183243932,No,1,4.99,26/09/19,Royal Mail 2nd Class,September,Compeed 55708812
04-03916-21887,London,264431809825,No,4,17.96,25/09/19,Royal Mail 2nd Class,September,Scholl Verruca Removal System Washproof
26-03912-60096,Gloucestershire,264465290677,No,1,17.00,24/09/19,Royal Mail 2nd Class,September,Scholl Party Feet Heel Cushions
24-03917-19231,Derbyshire,264473469373,No,1,8.00,24/09/19,Royal Mail 2nd Class,September,JML Nicer Dicer A000704
23-03909-72338,Somerset,264468821396,No,1,16.00,24/09/19,Royal Mail 2nd Class,September,Compeed 55709992
23-03908-77334,Bristol,264468821396,No,1,16.00,23/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
08-03909-17484,London,264236738048,No,1,124.99,23/09/19,Royal Mail International Tracked,September,JML Flawless Facial Hair FTFLESS
22-03908-17141,North Yorkshire,264423396047,No,1,15.00,23/09/19,Royal Mail 2nd Class,September,Sennheiser ClipMic Digital Clip-on
05-03908-76426,Norfolk,264423396047,No,1,15.00,23/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
02-03908-30211,Hertfordshire,264465290677,No,1,17.00,23/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
27-03905-69211,Staffordshire,264423396047,No,1,15.00,23/09/19,Royal Mail 2nd Class,September,JML Nicer Dicer A000704
22-03903-74248,Lancashire,264423396047,No,1,15.00,22/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
11-03903-03136,Essex,264423396047,No,1,15.00,22/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
14-03902-26207,Merthyr Tydfil,264423396047,No,1,15.00,22/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
17-03901-66462,London,264454605149,No,1,20.00,22/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
14-03900-86260,Antrim,264423396047,No,1,15.00,21/09/19,Royal Mail 2nd Class,September,Gillette Fusion5 ProGlide
01-03901-51041,East Sussex,263749837452,No,1,25.00,21/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
19-03899-19233,South Yorkshire,264454605149,No,1,20.00,21/09/19,Royal Mail 2nd Class,September,KIDDE 10LLCO
17-03898-99527,West Sussex,264470181391,No,1,22.00,21/09/19,Royal Mail 2nd Class,September,Gillette Fusion5 ProGlide
11-03898-78516,Buckinghamshire,264393632022,No,2,50.00,21/09/19,Royal Mail 2nd Class,September,Neo G 456
19-03897-79974,Antrim,264376292335,No,1,19.99,21/09/19,Royal Mail Tracked 24,September,Neo G 453
02-03898-85401,London,264423396047,No,1,15.00,21/09/19,Royal Mail 2nd Class,September,Clearblue Ovulation Test Digital
13-03895-78234,Cornwall,264465290677,No,1,17.00,20/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
13-03895-68074,Nottinghamshire,264204441497,No,1,14.99,20/09/19,Royal Mail 2nd Class,September,JML Nicer Dicer A000704
04-03892-35919,London,264468821396,No,1,16.00,19/09/19,Royal Mail 2nd Class,September,Clearblue Digital Ovulation
14-03890-65401,Worcestershire,264393705626,No,1,17.00,19/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
12-03890-58465,London,264468821396,No,1,16.00,19/09/19,Royal Mail 2nd Class,September,JML Finishing Touch FTFLPB
16-03887-81874,East Sussex,264468821396,No,1,16.00,18/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
03-03887-09066,Greater Manchester,264454590600,No,1,20.00,18/09/19,Royal Mail 2nd Class,September,Neo G 885
07-03885-06097,Northamptonshire,264468821396,No,1,16.00,17/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
03-03884-29862,West Yorkshire,264468821396,No,1,16.00,17/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
02-03882-57488,London,263668055533,No,1,32.99,17/09/19,Royal Mail International Tracked,September,Gillette Fusion5 Razor
15-03875-78460,Northumberland,264454628992,No,1,15.00,16/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
01-03874-58292,West Midlands ,264454628992,No,1,15.00,15/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
20-03870-71835,Cornwall,264454600512,No,1,32.00,14/09/19,Royal Mail 2nd Class,September,JML Flawless Facial Hair FTFLESS
